"last_recorded_age","birth_year","animal_id","datetime","found_location","intake_type","intake_condition","animal_type","neutered","sex","breed","color","adopted"
1.0,2012.0,"A667218",3/16/14 4:30 PM,"1202 E 13Th St in Austin (TX)","Stray","Injured","Cat","Neutered","Female","Domestic Shorthair Mix","Calico","false"
1.0,2013.0,"A667221",11/14/13 4:22 PM,"11713 Jemmer in Travis (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Brown Tabby/White","false"
0.0,2013.0,"A667222",11/14/13 4:26 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Intact","Male","Rat Terrier Mix","Black/White","false"
9.0,2004.0,"A667225",11/14/13 4:41 PM,"11417 Trails End in Travis (TX)","Stray","Injured","Dog","Intact","Female","Siberian Husky Mix","Gray","false"
2.0,2011.0,"A667227",11/14/13 4:56 PM,"2409 Wood Chase Trl in Travis (TX)","Stray","Normal","Dog","Intact","Male","Miniature Poodle Mix","Gray","false"
2.0,2011.0,"A667228",11/14/13 4:41 PM,"3427 Parker Ln in Austin (TX)","Stray","Nursing","Dog","Intact","Female","Australian Shepherd Mix","Red/Tricolor","false"
0.0,2013.0,"A667229",11/14/13 4:41 PM,"3427 Parker Ln in Austin (TX)","Stray","Nursing","Dog","Intact","Male","Australian Shepherd Mix","White","false"
0.0,2013.0,"A667230",11/14/13 4:41 PM,"3427 Parker Ln in Austin (TX)","Stray","Nursing","Dog","Intact","Male","Australian Shepherd Mix","White/Tan","false"
0.0,2013.0,"A667231",11/14/13 4:41 PM,"3427 Parker Ln in Austin (TX)","Stray","Nursing","Dog","Intact","Male","Australian Shepherd Mix","Chocolate/White","false"
0.0,2013.0,"A667232",11/14/13 4:41 PM,"3427 Parker Ln in Austin (TX)","Stray","Nursing","Dog","Intact","Female","Australian Shepherd Mix","White/Black","false"
2.0,2013.0,"A667240",2/10/15 9:04 AM,"1300 Canterbury in Austin (TX)","Stray","Injured","Dog","Neutered","Female","Flat Coat Retriever Mix","Black/White","false"
0.0,2013.0,"A667241",11/14/13 6:42 PM,"Stoneleigh & Bitter Creek in Austin (TX)","Stray","Normal","Dog","Intact","Female","Cardigan Welsh Corgi Mix","Tricolor","true"
2.0,2011.0,"A667242",11/16/13 11:17 AM,"Mathews Lane/Albert Lane in Austin (TX)","Stray","Normal","Dog","Intact","Female","Schipperke Mix","Black","true"
2.0,2011.0,"A667242",11/16/13 11:17 AM,"Mathews Lane/Albert Lane in Austin (TX)","Stray","Normal","Dog","Intact","Female","Schipperke Mix","Black","true"
2.0,2011.0,"A667242",11/22/13 7:50 AM,"4434 Frontier Trl in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Schipperke Mix","Black","true"
2.0,2011.0,"A667242",11/22/13 7:50 AM,"4434 Frontier Trl in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Schipperke Mix","Black","true"
0.0,2013.0,"A667243",11/14/13 7:04 PM,"Great Hills Trail in Austin (TX)","Stray","Sick","Other","Intact","Female","Rabbit Sh/Lop-Mini","White/Black","false"
0.0,2013.0,"A667244",11/14/13 6:46 PM,"900 Talbee Ln in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull Mix","Black Brindle/White","true"
0.0,2013.0,"A667245",12/24/13 4:58 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Boston Terrier/Pointer","White/Black","true"
0.0,2013.0,"A667245",12/24/13 4:58 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Boston Terrier/Pointer","White/Black","true"
0.0,2013.0,"A667245",11/14/13 8:07 PM,"12319 Yarmont Way in Austin (TX)","Stray","Normal","Dog","Intact","Male","Boston Terrier/Pointer","White/Black","true"
0.0,2013.0,"A667245",11/14/13 8:07 PM,"12319 Yarmont Way in Austin (TX)","Stray","Normal","Dog","Intact","Male","Boston Terrier/Pointer","White/Black","true"
2.0,2012.0,"A667251",9/19/14 5:18 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Intact","Female","Pit Bull","Black","false"
7.0,2006.0,"A667257",11/15/13 11:29 AM,"Oltorf And Pleasant Valley in Austin (TX)","Stray","Normal","Dog","Intact","Female","Maltese Mix","White","false"
0.0,2013.0,"A667258",11/15/13 11:50 AM,"6Th St And Ih 35 in Austin (TX)","Stray","Normal","Dog","Intact","Female","Australian Cattle Dog Mix","Black/White","true"
3.0,2014.0,"A667259",3/8/17 12:45 PM,"7906 Hayride in Travis (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Border Collie","Black/White","false"
3.0,2010.0,"A667261",11/15/13 12:14 PM,"Manor (TX)","Owner Surrender","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","White/Black","false"
3.0,2010.0,"A667262",11/15/13 12:14 PM,"Manor (TX)","Owner Surrender","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Blue/White","false"
0.0,2013.0,"A667263",11/15/13 12:17 PM,"15315 Oklahoma in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Blue Tabby","false"
3.0,2011.0,"A667267",11/15/13 12:43 PM,"1100 Morrow in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull Mix","Yellow Brindle/White","true"
2.0,2011.0,"A667268",11/15/13 12:40 PM,"1607 West Avenue in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Torbie","false"
2.0,2011.0,"A667269",11/15/13 12:51 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Belgian Malinois Mix","Brown/Black","true"
0.0,2013.0,"A667270",11/15/13 12:51 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Intact","Male","Anatol Shepherd Mix","White/Brown","false"
0.0,2013.0,"A667271",11/15/13 1:06 PM,"19967 Blake Manor Rd in Austin (TX)","Stray","Normal","Dog","Intact","Female","Jack Russell Terrier/Australian Cattle Dog","Chocolate/White","false"
0.0,2013.0,"A667272",11/15/13 1:06 PM,"19967 Blake Manor Rd in Austin (TX)","Stray","Normal","Dog","Intact","Female","Jack Russell Terrier/Australian Cattle Dog","Tricolor","true"
2.0,2011.0,"A667273",11/15/13 1:19 PM,"12407 North Mopac Expressway in Austin (TX)","Stray","Normal","Cat","Intact","Male","Russian Blue Mix","Blue","false"
0.0,2013.0,"A667274",11/15/13 1:19 PM,"E 51 St And Berkman Dr in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Blue Tabby","false"
0.0,2013.0,"A667275",11/15/13 1:19 PM,"E 51 St And Berkman Dr in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Blue Tabby","false"
0.0,2013.0,"A667276",11/15/13 1:19 PM,"E 51 St And Berkman Dr in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Blue Tabby","false"
3.0,2011.0,"A667277",11/15/13 1:49 PM,"6407 Cooper in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Black/White","false"
2.0,2011.0,"A667277",11/15/13 1:49 PM,"6407 Cooper in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Black/White","false"
2.0,2012.0,"A667277",10/23/14 11:09 AM,"10600 Plains Trail in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Black/White","false"
1.0,2012.0,"A667277",10/23/14 11:09 AM,"10600 Plains Trail in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Black/White","false"
3.0,2011.0,"A667279",11/15/13 1:56 PM,"2502 Citation in Austin (TX)","Stray","Normal","Dog","Intact","Female","Pit Bull Mix","Chocolate/White","true"
3.0,2011.0,"A667280",11/15/13 1:58 PM,"Perry Rd And Lux St in Austin (TX)","Stray","Normal","Dog","Intact","Female","Pit Bull Mix","Brown Brindle/White","true"
0.0,2013.0,"A667281",11/15/13 2:07 PM,"Black Locust And Gravesend in Austin (TX)","Stray","Normal","Dog","Intact","Female","Harrier/Labrador Retriever","Yellow/White","false"
0.0,2013.0,"A667282",11/15/13 2:09 PM,"8100 Lerwick Ln in Round Rock (TX)","Stray","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Blue/White","false"
2.0,2012.0,"A667283",1/13/14 5:58 PM,"7Th And Comal in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Basset Hound","Tricolor","false"
2.0,2011.0,"A667284",11/15/13 2:33 PM,"9800 Teasdale in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull Mix","Black","false"
0.0,2013.0,"A667285",11/15/13 2:28 PM,"5414 Bolm Rd in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Orange Tabby","true"
0.0,2013.0,"A667286",11/15/13 2:49 PM,"6400 Kennelworth Dr in Austin (TX)","Stray","Normal","Cat","Intact","Male","Siamese Mix","Flame Point","true"
3.0,2010.0,"A667287",11/15/13 2:56 PM,"1401 E Rundberg in Austin (TX)","Stray","Normal","Dog","Intact","Female","Chihuahua Shorthair Mix","Tan/White","false"
2.0,2011.0,"A667288",11/15/13 3:02 PM,"2200 Lakehurst Dr. in Travis (TX)","Stray","Normal","Dog","Neutered","Female","Border Collie Mix","Black/White","true"
8.0,2005.0,"A667289",11/15/13 3:11 PM,"21205 W. 71 in Travis (TX)","Stray","Normal","Dog","Neutered","Female","Rat Terrier Mix","Tricolor","false"
2.0,2011.0,"A667291",11/15/13 3:23 PM,"7412 Pusch Ridge Loop in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Medium Hair Mix","Calico","false"
0.0,2013.0,"A667292",11/15/13 3:23 PM,"7412 Pusch Ridge Loop in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Medium Hair Mix","Torbie","true"
0.0,2013.0,"A667293",11/15/13 3:23 PM,"7412 Pusch Ridge Loop in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Medium Hair Mix","White/Black","true"
0.0,2013.0,"A667294",11/15/13 3:23 PM,"7412 Pusch Ridge Loop in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Longhair Mix","Orange Tabby/White","true"
2.0,2011.0,"A667298",11/15/13 3:46 PM,"360 in Austin (TX)","Stray","Normal","Dog","Intact","Female","Dachshund/Chihuahua Shorthair","Red","true"
0.0,2013.0,"A667299",11/15/13 3:56 PM,"7Th/Pleasant Valley in Austin (TX)","Stray","Injured","Cat",,,"Domestic Shorthair Mix","Black/White","false"
2.0,2011.0,"A667300",11/15/13 4:15 PM,"2600 Block Of Jones in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull Mix","Tan/White","false"
2.0,2011.0,"A667301",11/15/13 4:24 PM,"4405 Bucks Run in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Labrador Retriever Mix","Yellow","false"
4.0,2009.0,"A667302",11/15/13 4:10 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Intact","Male","Labrador Retriever/Golden Retriever","Yellow","false"
2.0,2011.0,"A667307",11/15/13 5:57 PM,"12138 North Lamar Blvd in Austin (TX)","Stray","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Brown Tabby","false"
2.0,2011.0,"A667308",11/15/13 5:57 PM,"12138 North Lamar Blvd in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Torbie/White","false"
0.0,2013.0,"A667311",11/15/13 6:43 PM,"Guadalupe And W 24Th St in Austin (TX)","Stray","Normal","Dog","Intact","Female","Labrador Retriever Mix","Yellow","true"
2.0,2011.0,"A667312",11/15/13 11:22 PM,"10558 Bilbrook Pl in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Australian Cattle Dog Mix","White","false"
